"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2045688623450968155","Sun Apr 19 02:19:09 +0000 2026","5401","Ikan Sapu-Sapu atau cleaning serfish: Pembersih Akuarium yang Jadi Penjajah Mengerikan di Sungai Kita! Banyak yang ngira ikan ini berjasa bersihin sungai padahal realitanya malah bikin ikan lokal terancam punah. Kok bisa? Sini kita bedah kenapa ikan sapu-sapu itu INVASIF: https://t.co/EH5ugcrv9h","2045688623450968155","https://pbs.twimg.com/amplify_video_thumb/2045688343460188160/img/aGD0tJhtgun0oiR0.jpg","","in","","53","84","1061","https://x.com/undefined/status/2045688623450968155","1156869918370873344",
"1374733240351682567","Wed Mar 24 14:42:00 +0000 2021","0","Nama umum: ikan sapu - sapu Nama lokal: ikan pembersih kaca","1374733240351682567","","","in","","0","0","0","https://x.com/undefined/status/1374733240351682567","241073175",
"1716708602604585438","Tue Oct 24 08:21:09 +0000 2023","0","@tanyakanrl apa benar ikan sapu sapu sm pembersih kaca kalo naik ke darat jadi cleaning sharefish?","1716731542792438163","","tanyakanrl","in","","0","1","0","https://x.com/undefined/status/1716731542792438163","1444241382281924625",
"2045373681300647950","Sun Apr 19 03:46:27 +0000 2026","0","@SeekHustle oh ternyata sapu sapu tuh gini di gue namanya ikan pembersih kaca","2045710592485576855","","SeekHustle","in","","0","0","0","https://x.com/undefined/status/2045710592485576855","1524318213676617728",
"1105467861072396288","Tue Mar 12 13:57:31 +0000 2019","1","Ikan sapu-sapu Bahasa lokal: Pembersih kaca Bahasa inggris: Cleaning share fish https://t.co/C5SoQuiWTk","1105467861072396288","https://pbs.twimg.com/media/D1dpKMUU4AAK_iD.jpg","","in","","0","0","0","https://x.com/undefined/status/1105467861072396288","241073175",
"2046463363115626600","Tue Apr 21 05:37:41 +0000 2026","1025","Kalo gitu mending ikan sapu-sapu yang ditangkap dikumpulin terus serahin ke MUI buat disucikan sesuai ajaran islam. https://t.co/CSK4FwZiKx","2046463363115626600","https://pbs.twimg.com/ext_tw_video_thumb/2046463334904696832/pu/img/xxYuEiv8b6pqjHom.jpg","","in","","19","122","76","https://x.com/undefined/status/2046463363115626600","871058414364876800",
"2046642451629404412","Tue Apr 21 17:29:19 +0000 2026","2","ikan sapu sapu https://t.co/aRlMGttuhX","2046642451629404412","https://pbs.twimg.com/media/HGcicowagAA72Vu.jpg","","in","","0","2","0","https://x.com/undefined/status/2046642451629404412","1362596642902347785",
"2046249625116704963","Tue Apr 21 05:32:11 +0000 2026","15","@tvindonesiawkwk Senyumnya bisa membunuh ikan sapu sapu di kali Ciliwung.","2046461976050913350","","tvindonesiawkwk","in","","0","2","1","https://x.com/undefined/status/2046461976050913350","1472497554885525504",
"1456254979237289993","Thu Nov 04 13:40:17 +0000 2021","0","Salah yang makan lumut ikan pembersih kaca Ikan sapu sapu??","1456254979237289993","","","in","","0","0","0","https://x.com/undefined/status/1456254979237289993","775113440",
"2046085521399812361","Mon Apr 20 04:36:17 +0000 2026","1","https://t.co/NpLHdzD8q2 @DKIJakarta @Jakarta","2046085521399812361","","","qme","","0","0","0","https://x.com/undefined/status/2046085521399812361","948579264294567936",
"331446643666874368","Mon May 06 16:33:32 +0000 2013","0","Iwak Sakarmuuut oke dijadikan bit :D RT @kitipz: @Roni_Armor ikan sapu sapu ikan pembersih kaca","331446643666874368","","","in","","0","0","0","https://x.com/undefined/status/331446643666874368","386989453",
"1105467719099404295","Tue Mar 12 13:56:57 +0000 2019","0","Ternyata di luar negeri ada ikan sapu-sapu atau ikan pembersih kaca tapi namanya beda jadi cleaning share fish ~","1105467719099404295","","","in","","0","0","0","https://x.com/undefined/status/1105467719099404295","97581462",
"2045676870583439698","Mon Apr 20 03:29:26 +0000 2026","93","Fun fact sekaligus koreksi : Ternyata betutu saudaranya sapu-sapu itu tidak tepat secara taksonomi. Betutu masuk famili Eleotridae berkerabat dengan ikan gabus. Sapu-sapu masuk Loricariidae keluarga lele Amerika Selatan. Dua ikan ini tidak ada hubungan kekerabatan sama","2046068696964280517","","rouppme","in","","0","3","4","https://x.com/undefined/status/2046068696964280517","902919964301996032",
"2045779191761944768","Sun Apr 19 08:19:02 +0000 2026","5473","Telah ditemukan predator utama ikan sapu-sapu di Indonesia https://t.co/fZfEX24tbE","2045779191761944768","https://pbs.twimg.com/media/HGQRVDKagAANyrK.jpg","","in","","36","75","482","https://x.com/undefined/status/2045779191761944768","1533380464311799808",
"2046412759903178889","Tue Apr 21 02:16:40 +0000 2026","102","Ini panduannya yang saya dapat dr literatur: 1. Cincang 1 kg ikan sapu-sapu segar campur dengan 250 ml molase dan 50 ml EM4 tambah 500 ml air bersih non-klorin aduk rata dalam wadah tertutup 2. Fermentasi 14-21 hari di tempat teduh aduk sekali sehari selama 7 hari pertama ","2046412775220822463","","rouppme","in","","1","3","18","https://x.com/undefined/status/2046412775220822463","902919964301996032",
"2045771794423165164","Sun Apr 19 18:37:44 +0000 2026","1","@KangManto123 M U ik lebih peduli ikan sapu sapu daripada kaum penyuka sejenis di taman lawang merajalela.","2045934890882101450","","KangManto123","in","","0","0","1","https://x.com/undefined/status/2045934890882101450","723969192",
"2046625758500778481","Tue Apr 21 16:27:23 +0000 2026","1","Kecuali mereka bisa proses buat ilangin semua polusi yang ada dari ikan sapu sapu (which will cost more than making another organic fertilizer) ga ada yang lebih tepat selain dibuang aja yang harusnya bahkan nguburnya di tempat tertentu.","2046626865931329634","","agrainofsal","in","","0","1","0","https://x.com/undefined/status/2046626865931329634","1767916092012535808",
"2046179612313657746","Mon Apr 20 10:50:11 +0000 2026","1","mendominasi sungai-sungai Jakarta mengancam populasi ikan lokal dan merusak ekosistem sungai. Adalah Arief Kamarudin seorang pemuda dan aktivis lingkungan yang rutin memburu ikan sapu-sapu di Sungai Ciliwung Jakarta yang menjadi pionir pemburuan ikan sapu-sapu.","2046179615316815954","","makobanser","in","","0","1","0","https://x.com/undefined/status/2046179615316815954","1831407388714536960",
"741966089479823360","Sun Jun 12 12:11:15 +0000 2016","0","Wa baru tau kalau siomay bikinnya dari ikan sapu-sapu kirain dari ikan pembersih kaca.","741966089479823360","","","in","","0","1","1","https://x.com/undefined/status/741966089479823360","79921163",
"2045771794423165164","Sun Apr 19 21:34:24 +0000 2026","1","@AntonClipper9 @KangManto123 tp sebenernya ikan sapu sapu ini dia konsumsi segala macem hal. apalagi yg di sungai ciliwung yg udh terkontaminasi kandungan logam/besi nya. kl dimasak dan dimakan tubuh kita jg tercemar dr kandungan itu","2045979353310462292","","AntonClipper9","in","","0","1","0","https://x.com/undefined/status/2045979353310462292","1356890731269394434",
"2045932153717112943","Mon Apr 20 07:21:33 +0000 2026","1","@xzabiruw pernah baca ikan sapu sapu ada yang di buat jadi siomay.. kalo bener. anjir lah ternyata w baru tau ternyata ikan sapu sapu itu enak","2046127113179431347","","xzabiruw","in","","0","0","0","https://x.com/undefined/status/2046127113179431347","3187400611",
"2045932153717112943","Mon Apr 20 07:47:45 +0000 2026","13","@xzabiruw Iya emang bisa dimakan kalau dr sungai yang airnya bersih di kampung juga banyak yg makan ikan sapu tapi kalau dr sungai di perkotaan yang tercemar ya jijik dan emang gak boleh dikonsumsi Krn bahaya.","2046133707720044672","","xzabiruw","in","","0","1","0","https://x.com/undefined/status/2046133707720044672","1614499114829643778",
